순위,호텔명,지역,객실구성,4박총액_JPY,1인당_JPY,1인당_KRW,10-08_JPY,10-09_JPY,10-10_JPY,10-11_JPY,조식포함,주방,통금,숙박세메모,예약가능여부,출처URL,가격확인여부,실패사유
,NEDOCO OSAKA West,니시쿠조,"아파트형 통실, 무인/셀프체크인. 'Superior Triple'(3인용, 37㎡) 객실 타입 존재 — 1실 3인 가능성 높으나 지정 날짜 재고는 미확인",,,,,,,,False,True,True,1인 1박 요금 미확인 — 면제 여부 판정 불가,확인 불가 (지정 날짜 재고 조회 불가),https://hotel.travel.rakuten.co.jp/hotelinfo/plan/186164 ; https://www.bon-lodging.com/en/nedoco-osaka-west/,False,이 세션의 WebFetch 도구가 모든 URL(대조군 example.com 포함)에서 HTTP 403을 반환하는 전면 장애 상태였음. 예약엔진 페이지를 직접 열람하지 못해 지정 조건 실가격을 확인할 수 없었음.
,MIKI,니시쿠조,단독주택 통대여(一棟貸し) 1채. 정확한 정원 및 3인 1실 가능 여부는 자료상 명시되지 않음,,,,,,,,,True,,1인 1박 요금 미확인 — 면제 여부 판정 불가,확인 불가 (지정 날짜 재고 조회 불가),https://travel.rakuten.co.jp/HOTEL/200379/200379.html,False,WebFetch 도구 전면 403 오류로 라쿠텐 트래블 예약 페이지를 열람하지 못함. WebSearch 스니펫에는 요금 정보가 없었음.
,Business Hotel Urbanty Nishikujo,니시쿠조,싱글/트윈/더블 객실 확인됨. '3인용 트리플룸'은 표준 객실 타입으로 명시되지 않아 3인 1실 미확정 — 2실 분할(예: 싱글+트윈) 가능성 있으나 미확정,,,,,,,,True,False,True,1인 1박 요금 미확인 — 면제 여부 판정 불가,확인 불가 (지정 날짜 재고 조회 불가),http://urbanty.jp/basic-information.html ; https://hotel.travel.rakuten.co.jp/hotelinfo/plan/759,False,WebFetch 도구 전면 403 오류로 공식 예약엔진 및 라쿠텐 트래블 요금 페이지를 열람하지 못함.
,Time 西九条,니시쿠조,"단독주택 통대여 1채(2층 싱글베드 6개, 정원 최대 6인) — 3인 1실 투숙 가능",,,,,,,,,True,,1인 1박 요금 미확인 — 면제 여부 판정 불가,확인 불가 (지정 날짜 재고 조회 불가),https://hotel.travel.rakuten.co.jp/hotelinfo/plan/185646 ; https://vacation-stay.jp/listings/393166,False,WebFetch 도구 전면 403 오류로 라쿠텐 트래블 예약 페이지를 열람하지 못함.
,MIMARU Osaka Namba Station,난바,"아파트형, 스튜디오~2베드룸까지 키친 포함, 최대 6인 수용. 3인실 정확한 요금제·객실타입은 미확인",,,,,,,,,,,1인 1박 요금 미확인 — 면제 여부 판정 불가,미확인,https://mimaruhotels.com/en/hotel/namba-station/ ; https://hotel.travel.rakuten.co.jp/hotelinfo/plan/183263,False,WebFetch 도구가 세션 내내 모든 URL에서 HTTP 403을 반환(대조군 example.com/wikipedia.org/google.com 포함)하여 페이지 본문을 전혀 열람하지 못함.
,MIMARU Osaka Namba North,난바,"키친 포함 객실, 총 40실, 포켓몬룸 테마. 3인실 정확한 구성은 미확인",,,,,,,,,,,1인 1박 요금 미확인 — 면제 여부 판정 불가,미확인,https://mimaruhotels.com/en/hotel/namba-north/ ; https://hotel.travel.rakuten.co.jp/hotelinfo/plan/181494,False,WebFetch 도구 전면 403(대조군 URL 포함)으로 원문 미열람.
,Toyoko Inn Osaka Namba,난바,"트리플룸 39㎡, 정원 1~4명 (WebSearch 스니펫 근거, 공식 페이지 미대조)",,,,,,,,True,False,,1인 1박 요금 미확인 — 면제 여부 판정 불가,미확인,https://www.toyoko-inn.com/eng/ ; https://hotel.travel.rakuten.co.jp/hotelinfo/plan/187493,False,WebFetch 도구 전면 403(대조군 URL 포함)으로 공식 홈페이지 회원가/비회원가 비교 및 라쿠텐 트래블 실가격을 확인하지 못함.
,Dormy Inn PREMIUM Nanba,난바,공식 페이지 미대조로 트리플룸 객실명 미확인. 도미인 계열은 添い寝(添寝) 방식으로 3인 이용 시 성인과 동일 요금 적용 구조로 알려짐 — 확정 객실 타입·침대 구성은 미확인,,,,,,,,,False,,1인 1박 요금 미확인 — 면제 여부 판정 불가,확인 불가 - 실시간 예약엔진 조회 실패,https://dormy-hotels.com/dormyinn/hotels/premium_nanba/ ; https://hotel.travel.rakuten.co.jp/hotelinfo/plan/143240,False,WebFetch 도구가 세션 내 모든 도메인에 403을 반환하여 공식 예약엔진 및 라쿠텐 트래블 페이지에서 지정 날짜·인원 조건의 실가격을 조회하지 못함.
,Namba Oriental Hotel,난바,"'Oriental Quality Floor' 트리플룸: 침대 3대(180×200cm), 56㎡, 정원 3명. 'Oriental Floor'는 엑스트라베드 사용 시 최대 4명.",,,,,,,,,False,,1인 1박 요금 미확인 — 면제 여부 판정 불가,확인 불가 - 실시간 예약엔진 조회 실패,https://nambaorientalhotel.co.jp/rooms/oriental-quality-floor/,False,WebFetch 도구 전면 403(대조군 URL 포함)으로 공식 예약엔진에서 지정 조건 실가격을 확인하지 못함.
,Sotetsu Grand Fresa Osaka Namba,난바(니혼바시),트리플룸(약 18.7㎡) — 상시 3인용 객실 타입 보유. 니혼바시역 도보 2분. 체크인 15:00 / 체크아웃 11:00.,,,,,,,,,False,,1인 1박 요금 미확인 — 면제 여부 판정 불가,확인 불가 - 실시간 예약엔진 조회 실패,https://sotetsu-hotels.com/grand-fresa/namba/ ; https://hotel.travel.rakuten.co.jp/hotelinfo/plan/151202,False,WebFetch 도구 전면 403으로 공식/라쿠텐 트래블 페이지에서 지정 조건 실가격을 확인하지 못함.
,Hotel Mikado,니시나리,"화실(다다미) 3인용 객실, 양실 개인실, 도미토리(2단 침대) 등 복수 타입. 대욕장+사우나 있음(온천수 여부 미확인). 화장실 공용. 신이마미야역/동물원앞역 도보권.",,,,,,,,,,,1인 1박 요금 미확인 — 면제 여부 판정 불가,확인 불가,https://www.chuogroup.jp/mikado/ja/room.html ; https://hotel.travel.rakuten.co.jp/hotelinfo/plan/16803,False,WebFetch 도구가 이 세션에서 전면적으로 403 반환(구글·example.com 등 무관 도메인 포함 재현 확인)하여 예약엔진에서 지정 날짜·인원 조건의 실시간 요금·재고를 조회할 수 없었음.
,Hotel Shin-Imamiya,니시나리,캡슐룸 / 양실 개인실 / 화실 개인실 3종. 라쿠텐 트래블에 '화실 트리플【리노베이션】' 객실 확인 — 3인 1실 다다미방 가능. 10층 남성전용 대욕장+사우나 보유.,,,,,,,,,,,1인 1박 요금 미확인 — 면제 여부 판정 불가,확인 불가,https://hotel.travel.rakuten.co.jp/hotelinfo/plan/147496,False,WebFetch 도구 전면 403(대조군 URL 포함)으로 지정 조건 실시간 요금을 조회할 수 없었음.
,Hotel Sunplaza 2 Annex,니시나리,'화실 트리플 플랜' 보유 확인(3인 1실 다다미방 가능). 공동 대욕장 보유. 신이마미야역 서쪽 출구 도보 1분.,,,,,,,,,,,1인 1박 요금 미확인 — 면제 여부 판정 불가,확인 불가,https://hotel.travel.rakuten.co.jp/hotelinfo/plan/149143,False,WebFetch 도구 전면 403(대조군 URL 포함)으로 지정 조건 실시간 요금·재고를 조회할 수 없었음.
